Date,SPY,^GSPC,^IRX,^IRX_daily
2020-03-16 05:00:00+00:00,0.0,0.0,0.0,7.3412699358803885e-06
2020-03-17 04:00:00+00:00,0.053992121066940735,0.05995484974402432,0.0,7.3412699358803885e-06
2020-03-17 05:00:00+00:00,0.0,0.0,-0.10810808416175743,6.547619307798051e-06
2020-03-18 04:00:00+00:00,-0.050633015228510825,-0.051830762729157875,0.0,6.547619307798051e-06
2020-03-18 05:00:00+00:00,0.0,0.0,-0.9818181823826199,1.1904762008242064e-07
2020-03-19 04:00:00+00:00,0.0021249579801851937,0.0047078080405855705,0.0,1.1904762008242064e-07
2020-03-19 05:00:00+00:00,0.0,0.0,-10.333333540293987,-1.1111111454074327e-06
2020-03-20 04:00:00+00:00,-0.04309423554132852,-0.04335951230846191,0.0,-1.1111111454074327e-06
2020-03-20 05:00:00+00:00,0.0,0.0,0.17857138580661758,-1.309523802428016e-06
2020-03-23 04:00:00+00:00,-0.025568092428008726,-0.02929386782180443,0.0,-1.309523802428016e-06
2020-03-23 05:00:00+00:00,0.0,0.0,0.21212119159619802,-1.5873015518226308e-06
2020-03-24 04:00:00+00:00,0.0906031474144664,0.09382773976227554,0.0,-1.5873015518226308e-06
2020-03-24 05:00:00+00:00,0.0,0.0,-0.1749999860301621,-1.309523802428016e-06
2020-03-25 04:00:00+00:00,0.014970183382677416,0.011535011448221999,0.0,-1.309523802428016e-06
2020-03-25 05:00:00+00:00,0.0,0.0,1.1212121417371401,-2.777777789604095e-06
2020-03-26 04:00:00+00:00,0.0583900301926521,0.062414163303876835,0.0,-2.777777789604095e-06
2020-03-26 05:00:00+00:00,0.0,0.0,0.49999994678156745,-4.166666536577163e-06
2020-03-27 04:00:00+00:00,-0.029785618690234106,-0.033687352562252526,0.0,-4.166666536577163e-06
2020-03-27 05:00:00+00:00,0.0,0.0,-0.4476190462674686,-2.3015872353599167e-06
2020-03-30 04:00:00+00:00,0.03247537246054333,0.03351600948370015,0.0,-2.3015872353599167e-06
2020-03-30 05:00:00+00:00,0.0,0.0,-1.2241379421084735,5.158730265167024e-07
2020-03-31 04:00:00+00:00,-0.014905128037409288,-0.016012721914555605,0.0,5.158730265167024e-07
2020-03-31 05:00:00+00:00,0.0,0.0,1.3076922084981861,1.1904761638669722e-06
2020-04-01 04:00:00+00:00,-0.04500504634390334,-0.04414243033166543,0.0,1.1904761638669722e-06
2020-04-01 05:00:00+00:00,0.0,0.0,1.1000000807146262,2.5000000402094805e-06
2020-04-02 04:00:00+00:00,0.023075473485320686,0.02282934723487151,0.0,2.5000000402094805e-06
2020-04-02 05:00:00+00:00,0.0,0.0,0.03174597730742468,2.5793649847545313e-06
2020-04-03 04:00:00+00:00,-0.014454128999784488,-0.015137125124949469,0.0,2.5793649847545313e-06
2020-04-03 05:00:00+00:00,0.0,0.0,-0.10769230063850388,2.3015872353599167e-06
2020-04-06 04:00:00+00:00,0.06716597532011126,0.07033131865275055,0.0,2.3015872353599167e-06
2020-04-06 05:00:00+00:00,0.0,0.0,0.034482765265083204,2.3809523277339444e-06
2020-04-07 04:00:00+00:00,0.0010197356878702823,-0.0016030527844311804,0.0,2.3809523277339444e-06
2020-04-07 05:00:00+00:00,0.0,0.0,1.133333482344951,5.0793653206219725e-06
2020-04-08 04:00:00+00:00,0.03356836738503732,0.03405645287963033,0.0,5.0793653206219725e-06
2020-04-08 05:00:00+00:00,0.0,0.0,0.4453124499777945,7.3412699358803885e-06
2020-04-09 04:00:00+00:00,0.015217359373173256,0.014487410153376512,0.0,7.3412699358803885e-06
2020-04-09 05:00:00+00:00,0.0,0.0,0.1351350850654922,8.333333073154326e-06
2020-04-13 04:00:00+00:00,-0.009130240492792985,-0.010104660822607414,0.0,8.333333073154326e-06
2020-04-13 05:00:00+00:00,0.0,0.0,-0.04761900369272054,7.93650805477112e-06
2020-04-14 04:00:00+00:00,0.029493106376351053,0.030572589146256046,0.0,7.93650805477112e-06
2020-04-14 05:00:00+00:00,0.0,0.0,-0.17499997951090374,6.547619307798051e-06
2020-04-15 04:00:00+00:00,-0.021248251461588374,-0.022030438529415775,0.0,6.547619307798051e-06
2020-04-15 05:00:00+00:00,0.0,0.0,-0.30303031808198067,4.563492146276289e-06
2020-04-16 04:00:00+00:00,0.004824473404898999,0.005816689462164515,0.0,4.563492146276289e-06
2020-04-16 05:00:00+00:00,0.0,0.0,-0.043478283404402074,4.365079341426725e-06
2020-04-17 04:00:00+00:00,0.027015251515343675,0.026793594848223412,0.0,4.365079341426725e-06
2020-04-17 05:00:00+00:00,0.0,0.0,-0.0636363574788592,4.0873015920321115e-06
2020-04-20 04:00:00+00:00,-0.017617891953885967,-0.01788104803401469,0.0,4.0873015920321115e-06
2020-04-20 05:00:00+00:00,0.0,0.0,-0.32038834740769684,2.777777789604095e-06
2020-04-21 04:00:00+00:00,-0.03036317318753612,-0.030674795694063395,0.0,2.777777789604095e-06
2020-04-21 05:00:00+00:00,0.0,0.0,0.3999999574252535,3.888888787182548e-06
2020-04-22 04:00:00+00:00,0.02219455010419491,0.022930247703843776,0.0,3.888888787182548e-06
2020-04-22 05:00:00+00:00,0.0,0.0,-0.05102036084075079,3.6904762779909446e-06
2020-04-23 04:00:00+00:00,-7.187308409284388e-05,-0.0005394221197431159,0.0,3.6904762779909446e-06
2020-04-23 05:00:00+00:00,0.0,0.0,0.0,3.6904762779909446e-06
2020-04-24 04:00:00+00:00,0.01393875222640828,0.013918057304545428,0.0,3.6904762779909446e-06
