Stock
FI
ANET
SBAC
CDNS
HOLX
AMT
SNA
ROP
CF
ETN
COP
FTNT
ZTS
ORCL
HON
CDW
SNPS
NDAQ
SYY
WBA
ZBH
LUV
IRM
PCAR
OMC
VTRS
GEN
CTSH
DLTR
TXN
SCHW
DRI
GLW
XYL
CVX
EW
LVS
HSIC
AES
FAST
META
VST
LII
CMCSA
AAPL
UNP
NRG
SBUX
HPQ
WFC
MA
EXR
ECL
MET
ICE
BK
CRM
PWR
LYB
BR
JPM
AMZN
DE
UPS
EXPD
IEX
LH
BALL
FTV
WDAY
EOG
TDY
AXON
TT
NDSN
DPZ
CCI
AME
CPRT
ADI
JBL
HES
ROST
FIS
GE
IP
TXT
FFIV
HD
TFC
CMG
TDG
LULU
APH
REG
HBAN
HWM
CMI
