Stock
GIS
NOC
LLY
ACGL
PGR
HSY
MRK
REGN
GILD
KMB
K
PG
ED
CME
CL
ALL
LMT
EG
MCK
SO
CMS
WRB
XEL
CBOE
SMCI
EXC
SJM
CHD
T
GD
FE
VRTX
KO
AEE
PNW
CTRA
JNJ
DUK
ERIE
AIZ
PEP
WEC
BMY
HII
MDLZ
NI
RSG
AEP
CB
WMT
TRV
AZO
LNT
CINF
PEG
MO
WM
ETR
AMGN
NEE
COR
KR
ABBV
AJG
PM
FOXA
DTE
KHC
BSX
KDP
EVRG
CAH
UNH
CNP
VRSK
BRO
MCD
TMUS
GL
FOX
IBM
BG
L
WTW
