Stock
LDOS
CI
RTX
D
ORLY
AKAM
SRE
J
ATO
MNST
XOM
MSFT
HIG
PPL
ES
DELL
ROL
AWK
ADP
JKHY
LHX
PCG
DLR
TYL
AON
TAP
MTB
MKC
KMI
EA
BAX
VRSN
CRWD
STZ
CVS
AVGO
AIG
FDS
ELV
VMC
MOH
MMC
TSN
NEM
ADM
COST
MSI
ABT
CSCO
MDT
GOOGL
MAA
GOOG
PANW
PSA
DGX
EQIX
ESS
EQR
TJX
AVB
NOW
MLM
UDR
WMB
AFL
EIX
TTWO
ABNB
VICI
AMCR
GRMN
INVH
CPT
DECK
DHR
CTVA
O
SYK
CHRW
TSCO
LIN
PAYX
GPC
RMD
APD
PKG
RJF
V
HUBB
TMO
CSGP
STE
INCY
AVY
OTIS
YUM
WELL
