Stock
VLO
IFF
TFX
EQT
NSC
SHW
LRCX
C
KEY
TGT
DD
KIM
NVDA
POOL
EL
BA
IR
MAR
UHS
BKNG
ROK
WY
NXPI
DIS
TPL
GS
SWK
COF
CE
ADSK
PODD
DFS
BLK
CFG
BBY
PH
WDC
RL
F
MS
STLD
STT
TROW
TPR
EBAY
AMAT
CBRE
MKTX
SPG
FANG
TRMB
SYF
IQV
IVZ
APO
CRL
EMN
HCA
BEN
MCHP
TER
AMD
TECH
EPAM
HAL
IDXX
ON
MHK
WYNN
EFX
MTCH
PHM
BX
KMX
LEN
PLTR
WBD
KKR
PARA
PYPL
GNRC
DVN
ALB
NUE
APTV
EXPE
DHI
TRGP
ZBRA
URI
FCX
ALGN
MGM
ENPH
BLDR
RCL
TSLA
NCLH
MRNA
CCL
CZR
APA
