Stock,Percentage
HWM,3.407255687980043
MPC,3.0306488140368213
OXY,2.8196861920084
OKE,2.6128753212839673
FICO,2.566870497454761
KLAC,2.374924952851062
BKR,2.369449981042602
CTAS,2.347033831934696
MPWR,2.270463801255308
AMP,2.1948323065286304
IT,2.1827518663225565
CARR,2.0089447422267583
GWW,1.9571052640968427
WAB,1.801080486828605
SLB,1.727852679587947
NWS,1.6727160629825457
GDDY,1.6158324185683228
HLT,1.61053457593751
VTR,1.5252342731958461
NFLX,1.504128258620353
FITB,1.5038932368860285
AXP,1.4769238804471596
CAT,1.4708628034518885
JCI,1.4680678379386822
MOS,1.4662139538175925
PFG,1.4569726915554555
NWSA,1.4503625035983874
PNR,1.449851037939371
LOW,1.4421793873710824
NVR,1.421162136775449
QCOM,1.398416021808574
RF,1.3659363611388433
ISRG,1.3624116861730184
UAL,1.3530408479475584
UBER,1.3505511138108983
PSX,1.3480719114821682
INTU,1.2991144992656685
MU,1.2780360927725347
CMI,1.216600201228364
LYV,1.2031681214169305
NTAP,1.1766659267818134
FDX,1.1426216226634844
ODFL,1.1182550248200969
PTC,1.1036741680318338
PRU,1.081687065120284
GM,1.0773702731444106
EMR,1.0336006291423887
STX,1.0000395484677238
HBAN,0.9881445232453039
REG,0.955557611386431
LKQ,0.9478676504017646
TEL,0.9442248553856876
WAT,0.9126340738220295
DVA,0.886634061872991
MAS,0.8422385142434301
DOV,0.8214665774502309
ACN,0.7784379825769872
PNC,0.7609236875613373
IPG,0.7130791313509565
SPGI,0.7088361723113428
MSCI,0.674720541408439
BAC,0.6658941460271026
WST,0.6533513633521235
ITW,0.6432579979587653
KEYS,0.6274572551368844
AOS,0.5727127304483434
HPE,0.5590618486445631
DAL,0.4911557145469117
RVTY,0.4851945032578564
CPAY,0.4826465408022837
MTD,0.448035156311222
MMM,0.41949969476154386
A,0.3755042916062897
PLD,0.3682301582874677
DOW,0.34987006439700363
JBHT,0.3028748760890264
USB,0.2752487617167382
CSX,0.24824452227939048
FRT,0.23926780857164753
NTRS,0.17553876050835365
PPG,0.1744316921165128
ANSS,0.1702767057199265
ALLE,0.13381820948000234
BWA,0.08768921522183479
