,Alpha,Beta,SMB,HML,R2
PANW,0.3012391091031155,0.9018174117310831,1.0148835015602007,-1.604244193709884,0.21217184136483713
PLD,-0.035990930591236016,1.116025265219617,0.5856945291938008,-0.28661022317091384,0.4589702589737418
WY,-0.0014930034378943247,1.2785635246397045,0.9912300406562644,-0.8844532777764189,0.5331354817381841
XOM,0.1824546948168722,0.7917077342032153,0.7986329509361207,-1.2808205405269797,0.22880905304735694
NDAQ,0.0641885894465149,0.9523292584315015,0.556635454003866,-0.6579011137933903,0.5024553116409929
BEN,-0.08938940575480595,1.3967336444117981,1.3218767813669616,-1.1433586699308487,0.5900363272920673
VICI,0.07755974211260204,0.7919311757236202,0.4024983657192004,-0.24331880746918177,0.5108808721459334
KEY,-0.0011841704631001398,1.2729498979806226,1.3315975441038668,-1.4813552503102794,0.4006385188508886
CPB,-0.03169818327473014,0.2809770608412538,-0.05760920225715619,0.031336966463443805,0.08189365578700636
TAP,0.025206207018956477,0.7770339466874485,0.40829043074872795,-0.5759148890196379,0.24562282441169891
GD,0.09966550252784324,0.5157576308781537,0.18964020793916667,-0.38436021421671196,0.24647989851683733
REG,0.030987369033541344,1.0831332104418931,0.8407994771573016,-0.9852342553804264,0.5935411319943289
BA,-0.09091019502684941,1.250007355527597,1.2885447445068572,-1.264296479531659,0.28207193136608294
KEYS,-0.006428903357484611,1.0731337379405934,1.0083583077390252,-1.0186758814183698,0.44846180060866203
MGM,-0.005102743950320024,1.9348432681460306,2.1044538764346346,-2.3795563011220993,0.561554777231535
JBL,0.22607907911834502,1.091192344954638,0.9707875652242473,-1.2974089360895764,0.3968915999798193
EL,-0.2713295000111531,1.1477715746363362,0.9704328019425136,-0.44161859665666275,0.32740867835816206
MTB,0.05784065979564572,0.7680174205709714,0.9054912795078502,-1.1925436694315492,0.24188644127329292
BDX,-0.023321074935740177,0.36540491556431737,0.1415064493712669,0.13469895691749492,0.11659008416131758
DAY,-0.10674292069644198,1.200471510094804,1.2544439124428333,-1.4727292431600487,0.35712591935347243
