,Mean Daily Return,Std Dev Daily Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Positive Days %
NVDA,0.0030828846478789013,0.0336426241059819,1.1720943935745138,0.534060101016329,1.4546807181196446,-0.6633509082129357,54.50199203187252
TRGP,0.0029327901716219374,0.0320237107839008,1.0917090916912362,0.5083606487499529,1.453816547496482,-0.47795944982555105,54.980079681274894
AVGO,0.002302500573762015,0.02611581221612395,0.7852584203625019,0.4145756664619596,1.3995759797958822,-0.3516219510866464,53.38645418326693
MCK,0.0015043566359484375,0.017161337704114817,0.46054990010350094,0.27242779038170384,1.3915535993146844,-0.23907425289174566,54.66135458167331
PWR,0.0019913235936661225,0.023114969796371565,0.6508900576146444,0.3669387698638109,1.3675675257485347,-0.3388542649472672,54.10358565737052
LLY,0.0017008425051133784,0.020060008026978323,0.5345669485829654,0.3184427552240647,1.3459634557771256,-0.2428054731504531,53.147410358565736
AJG,0.0012801224910941116,0.015406797143629728,0.38041553461720934,0.24457532245238725,1.3189837164316387,-0.20149781882583928,56.49402390438247
ORLY,0.001292845611752636,0.016077249065299625,0.38484285738718893,0.2552184167569707,1.2765422585937498,-0.23027180033939953,56.01593625498008
RSG,0.0010200711570809789,0.012811112380575057,0.2929506241119393,0.2033701042626136,1.263990754769273,-0.18838821837567943,56.095617529880485
PGR,0.0012825501769061643,0.016228760412301934,0.3812592178543537,0.2576235848268058,1.254553789388634,-0.2290779038359012,53.38645418326693
GWW,0.001327247444678829,0.016975711498706508,0.3968847692650175,0.2694810657237419,1.2411497451993252,-0.21745647994242545,54.26294820717131
WMB,0.0015573927871761204,0.020164353972052892,0.4801711008731633,0.3200991957499766,1.2260667554907818,-0.2374279570538953,54.342629482071715
VST,0.0022490659550469167,0.02917331046055585,0.761433963269706,0.4631119463946599,1.2238177509435941,-0.434624012669511,52.27091633466136
PANW,0.0019581089649950787,0.02550652833203663,0.637156639724296,0.4049035846511523,1.2186690310580723,-0.35999425948732877,53.94422310756972
AMP,0.0016545601401007266,0.02159484582697147,0.5168026529834819,0.3428075499536848,1.2162776326300726,-0.31538283696199076,53.306772908366526
AZO,0.0012780841141974712,0.016745975192832045,0.37970754266741924,0.265834114928943,1.2115720996300776,-0.21399447625655765,54.18326693227091
ABBV,0.0011085911239601092,0.014546368567617967,0.32208525244516895,0.23091644225402394,1.209809749842876,-0.21915437580462094,54.90039840637451
