Stock,Weight
LLY,0.16810435951951017
MCK,0.15567652706757465
TRGP,0.14598989831584108
PGR,0.11228853086364783
NVDA,0.09887238153792234
TSCO,0.07918430345097138
ABBV,0.06914149635538033
PANW,0.058008253096473845
VST,0.05693213554282011
ORLY,0.04322324688534701
AVGO,0.012578867364511224
WMB,1.4383315965535353e-16
AMP,8.735633864625017e-17
AJG,6.308968622092304e-17
ANET,2.628358979060866e-17
FICO,2.3050178996936863e-17
RSG,1.7983497388771044e-17
AZO,1.7285389557253586e-17
GWW,1.1491474084651354e-17
PWR,0.0
