,Mean Daily Return,Std Dev Daily Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Positive Days %
FOX,0.0023714431190256986,0.012417821626667656,0.8164720625033179,0.19712680709593308,3.0315697534919654,-0.12662603015701412,57.76892430278885
FOXA,0.0023182959508441466,0.012789628593556852,0.7923622416426357,0.20302905971659332,2.877472714636122,-0.11575332561601326,54.980079681274894
WELL,0.001958099669742576,0.012017746328784532,0.6371528123415098,0.1907758086325401,2.586497314895744,-0.11141422718073868,56.573705179282875
NI,0.0016454475802737966,0.01044786832063418,0.5133292411210473,0.1658547678428885,2.5000956898736284,-0.07372551407603356,58.964143426294825
TMUS,0.001975393593201252,0.013298641459343967,0.6442891404713644,0.21110938845862334,2.358015383026333,-0.14432653111835092,58.16733067729084
T,0.0019751009156560085,0.013334894640645993,0.6441681098797727,0.21168488987038392,2.351256299162755,-0.08569268452166534,56.573705179282875
TRGP,0.0024098465567071953,0.016564286963034823,0.8340942782555176,0.26294990369579696,2.3094944084587627,-0.1755153908337891,60.95617529880478
PM,0.002149870703642054,0.014791702424205532,0.718043057288797,0.23481099649031442,2.307248916854474,-0.10979234593782361,59.76095617529881
MO,0.0016179243369319437,0.011316153646734429,0.5028863021824455,0.1796383700823358,2.2696539315068165,-0.10290773738664294,58.16733067729084
VTR,0.0018987148764478673,0.013584408081394073,0.6128817375641542,0.21564579294830874,2.218805859011381,-0.1374697715300145,57.76892430278885
ETR,0.0022556893699948967,0.01619921747983962,0.7643698104917656,0.2571546053130367,2.2104745919162303,-0.0845374941036906,54.18326693227091
KMI,0.0018614611974291642,0.013847326374324719,0.5978391225678654,0.21981949145765345,2.1339700981089553,-0.15514302087965182,55.77689243027888
EVRG,0.0012610950203527861,0.00954000500779654,0.37382075168077544,0.15144288454164273,2.0984541207779013,-0.07846149048260243,57.76892430278885
WMB,0.0019234255944020856,0.014550922604063508,0.6229373741961755,0.2309887353414025,2.0983847938425733,-0.12183606032810501,56.17529880478087
RTX,0.0016034163997997062,0.012170835371363988,0.4974105849017565,0.19320602184322538,2.0913475102623673,-0.09828091689280338,53.38645418326693
PLTR,0.005523418614531892,0.041941187680137326,3.0071151159838703,0.6657957137539764,2.0905834358921243,-0.3870968097413813,53.78486055776892
K,0.0019150194574291124,0.0147905176904915,0.6195096408876999,0.23479218942565144,2.0553703445273683,-0.0934084638915984,54.18326693227091
BK,0.0016554213804701385,0.012854609323967345,0.5171313402582984,0.2040605968326583,2.04432504047107,-0.10444062512490515,56.97211155378486
TPL,0.0040297860244692535,0.03143809392841007,1.7551321877791062,0.4990642693707762,2.0348202435862808,-0.3656489388970896,60.1593625498008
GILD,0.0019123497110479753,0.0149690065666297,0.618422519669596,0.23762561249396996,2.028031078494617,-0.15617947296310652,57.37051792828686
MMM,0.0025577291488298216,0.02026998357977065,0.9035581761030878,0.32177601378861553,2.0030944442258463,-0.10534989310008869,52.191235059760956
AEE,0.0013995667208752498,0.011223387342371894,0.42254032776390416,0.17816575065399703,1.9795657266670663,-0.07862048325435311,51.79282868525896
BSX,0.001447497967830238,0.011762100284372112,0.43980219681801924,0.18671755348950425,1.9535896924320209,-0.1134865607188218,56.17529880478087
BRO,0.0013445511470209018,0.011059803178114282,0.4029810692539939,0.17556893255167313,1.9298795300788445,-0.11356019694268726,55.37848605577689
HWM,0.002733883638496134,0.022782276686928594,0.9897294022157248,0.3616574304808655,1.9049482157327773,-0.12253391136985081,54.980079681274894
XEL,0.0013320385290657424,0.011485490511243887,0.3985700789701605,0.18232650947006057,1.8410581670225379,-0.12376534050803423,54.980079681274894
PGR,0.0015206668386084786,0.013113012557586923,0.46655626050064236,0.20816262099745225,1.840907082612237,-0.10893338923158191,53.78486055776892
PNW,0.0012668281112872383,0.010956160359643327,0.37580448926239174,0.17392365381456137,1.8355219491004988,-0.13499785546809173,58.16733067729084
WEC,0.0012417222767544661,0.010826544424626978,0.3671385395168165,0.1718660646345352,1.8206852784319112,-0.09526613202988099,52.98804780876494
PPL,0.0011333699432311858,0.010380649698216341,0.3303572263703811,0.1647877052925488,1.7331949928376922,-0.09034895023478806,56.17529880478087
ATO,0.0010762147668833928,0.010006966233591784,0.31135412673681917,0.15885566419382732,1.7072486689785489,-0.09918768765238228,54.581673306772906
FI,0.0013985528369661355,0.01305785795625581,0.42217742458120533,0.20728706884475404,1.7002281757354565,-0.11918077773688796,57.76892430278885
WMT,0.001406153212947033,0.013177504013842524,0.4249001019109082,0.20918639112709658,1.6939467608452479,-0.1956211561615364,56.17529880478087
SO,0.001223757413599785,0.011473221216055682,0.36097087899923297,0.1821317404470804,1.6932077158552699,-0.13299633087543972,55.77689243027888
LNT,0.0011751933641495934,0.011338449983479666,0.3444363411046263,0.17999231345538969,1.645340970847051,-0.10953954441570712,52.191235059760956
DUK,0.0010767374410584484,0.010471762574476455,0.31152667591104,0.16623407736346918,1.6322636095453011,-0.11586566484444061,54.18326693227091
GDDY,0.0016826258739519658,0.01741427507398396,0.5275503668997004,0.27644304664939495,1.533848383510512,-0.19696757648009533,60.55776892430279
RSG,0.0009390572459264402,0.009792514676180815,0.2668473151150541,0.15545135125874782,1.5222924989540494,-0.08265815738720517,58.964143426294825
AEP,0.0011093587984035318,0.011782925063457041,0.3223407564381493,0.18704813660890376,1.4945800704885646,-0.13101014622047424,54.581673306772906
RCL,0.002183384845505559,0.02334566275171297,0.7325827089832897,0.3706009069980982,1.4846509295516224,-0.24344630166075132,54.18326693227091
DGX,0.001220790409618291,0.013346535599023044,0.35995492311412103,0.2118696843557127,1.452020774748062,-0.07950456163054664,50.199203187250994
CMS,0.0009363633696879213,0.01025503497549227,0.2659884041666656,0.16279363338853145,1.44946435711152,-0.09174453496304047,57.76892430278885
AFL,0.0010991992932944887,0.01212162784723826,0.318963360691517,0.19242487661440608,1.4395135742520384,-0.1252503891152833,57.37051792828686
ICE,0.0009438310473954736,0.01044988390252006,0.26837081177480404,0.16588676421339127,1.4337818033372625,-0.14191586695458547,55.77689243027888
CME,0.0009392361628348702,0.010461666739852542,0.26690438123013105,0.1660738109573141,1.4251946870492604,-0.11334787100738153,56.573705179282875
AJG,0.0010452280865477827,0.011742769724149863,0.30116487174061723,0.1864106903591945,1.4129955599783524,-0.12286975873232331,56.17529880478087
TTWO,0.0015078562604885098,0.01704341654509555,0.4618365963115296,0.27055585001523896,1.4044411814481275,-0.1896911897280995,57.76892430278885
NFLX,0.0016881993643354952,0.019479098749488118,0.5296937336854217,0.3092211063288889,1.3757994881502675,-0.1812960394259675,52.589641434262944
GLW,0.0015755942052252693,0.018499900249942774,0.48696521319394037,0.2936768120451015,1.3519955387413798,-0.18268403321879567,54.581673306772906
PEG,0.0010795148082526449,0.012785674390943455,0.3124439409149069,0.20296628869610164,1.340309927462804,-0.16688755872975936,54.980079681274894
GE,0.001687383006993879,0.020064425658439983,0.5293796044518779,0.3185128829494536,1.3350182693550197,-0.17649174378813248,54.581673306772906
VST,0.0037517460665871263,0.04468588234190084,1.5693961412296185,0.7093663907529731,1.332795042314307,-0.434624012669511,54.980079681274894
MAA,0.001040763855251573,0.012430875775022802,0.2997034255931037,0.19733403527668583,1.32907884418245,-0.10296608876742175,51.79282868525896
UAL,0.002432148332471228,0.02925079321606671,0.8444059596451587,0.4643419470065264,1.3199354134037238,-0.3675352547138886,50.59760956175299
IP,0.0016811392382688499,0.020464530660925444,0.5269791650535709,0.32486435295879007,1.3040737901381596,-0.17943696440933232,56.97211155378486
TPR,0.0019264952407742491,0.023547633766948052,0.6241908706677508,0.3738070974682298,1.2987361769297918,-0.23941755717352442,48.20717131474104
AXON,0.0026628926040740547,0.0327874821221565,0.9545442646988818,0.5204851428672144,1.2892758716032346,-0.30050282803698913,52.191235059760956
DTE,0.0009232429107984958,0.011395483561080829,0.2618133840635084,0.18089769343166756,1.2861259262496072,-0.09962303641355696,58.56573705179283
GS,0.0014481184580578722,0.01798152521821314,0.4400270214563937,0.2854478635261705,1.278432589834839,-0.2153820393071515,54.18326693227091
CNP,0.0010195709107014587,0.012860157353870446,0.29278780836266627,0.20414866907699802,1.2585527530422524,-0.1814117761812909,54.18326693227091
EQT,0.0016792927328254134,0.021439853389524807,0.5262699886468882,0.3403471212862072,1.2433828353616045,-0.2793415716263298,51.39442231075697
ADP,0.0008009844160487926,0.010250720467127074,0.22356322416610053,0.16272514269154856,1.2404233882093203,-0.0881559928575234,54.18326693227091
ALL,0.0011249946888077036,0.01461868931592658,0.32755554336415527,0.23206449854195205,1.2216373609955302,-0.12729638657061004,52.589641434262944
KO,0.0007236431618022027,0.009428864270380158,0.19996468536744882,0.14967858003125026,1.2183311515654538,-0.15502976137785496,53.78486055776892
BKR,0.0013746449433827508,0.01796205587883426,0.4136466579719744,0.2851387973450471,1.214883870444544,-0.15331315066923712,50.199203187250994
EXC,0.0008622130655706725,0.011311767943546663,0.2425728095392914,0.17956874920258195,1.2099972489015105,-0.115930791051577,54.18326693227091
AON,0.0009224332575054844,0.0121772728675114,0.26155619654102646,0.19330821392645733,1.2025002775092484,-0.17168259620609516,54.581673306772906
CSCO,0.0008921976848315994,0.011807852221386188,0.2519891144226327,0.18744384297353667,1.199472935525042,-0.09771452530047053,54.980079681274894
GRMN,0.0016762984359182003,0.022622293947692537,0.5251206840231244,0.3591177832283765,1.176291527681739,-0.13458437789575162,52.98804780876494
TYL,0.001141002517082391,0.015430112774905838,0.33291559717896524,0.24494544662448967,1.1738639695783388,-0.14430840600412143,51.39442231075697
MSI,0.0008945056495053088,0.012173155508221739,0.25271684166677577,0.19324285287402485,1.1664877656421595,-0.18214972012041386,55.77689243027888
ESS,0.0009558059149481141,0.013153017455904997,0.27220046997178904,0.20879767907049657,1.153571685466877,-0.12927356303698267,58.16733067729084
NEE,0.0012156189454856595,0.016955951155739203,0.3581859256090316,0.269167380003865,1.1380872907333257,-0.21094762463178873,54.581673306772906
MS,0.0012837069573437437,0.01799095497460086,0.38166140944700144,0.28559755626812544,1.1326923012846783,-0.2083924095853491,55.37848605577689
CPT,0.000921745261585059,0.012946712495803503,0.2613376946909636,0.20552268935849063,1.1301905723619263,-0.13314640128544053,54.18326693227091
NRG,0.0019690466576825503,0.02768256607731363,0.6416664891642159,0.4394471129561082,1.1291455629282128,-0.2515662373210882,53.78486055776892
OKE,0.001023977778667402,0.014401978752230324,0.29422281935501915,0.22862432499382654,1.1286743010882727,-0.2265731615833687,58.56573705179283
VRSK,0.0008803417363614358,0.012411228731191123,0.24825743240080556,0.19702214812482857,1.1259958318113827,-0.08979341914856553,52.589641434262944
REG,0.0008111944338817002,0.011450258079410596,0.2267128712241353,0.18176721195377105,1.1246307578848653,-0.08834432542831616,52.191235059760956
IBM,0.001122380960589075,0.01588976537628943,0.326682404995976,0.252242205460959,1.1213032392877,-0.16405698744018316,56.17529880478087
NDAQ,0.0008879096851497737,0.012584282753568876,0.2506381775663047,0.19976929556437423,1.120058215280837,-0.1383715815626978,56.97211155378486
VRSN,0.0008544079699041414,0.012122155100923125,0.24013330657387977,0.19243324650717403,1.118885703608481,-0.12447330390523381,50.59760956175299
FFIV,0.0012898463698173485,0.0183146987809124,0.3837979250402368,0.2907368298681123,1.117991433494756,-0.17121697241067524,55.37848605577689
ED,0.0008034448553059648,0.01151708764347464,0.22432149767373555,0.18282809839421296,1.1074233409163534,-0.1735645251258524,52.191235059760956
COST,0.0008545549916784187,0.012451705843206632,0.2401792144998114,0.19766470235792744,1.0894603605706688,-0.17294726590994403,52.191235059760956
NEM,0.0015336758827206572,0.02247035812728333,0.471364575340959,0.3567058768521045,1.0834873982349569,-0.3657083279692235,54.980079681274894
CBRE,0.001199657173647236,0.017761940034624075,0.35274033973769714,0.28196205680194375,1.0721783320351332,-0.17222866258631764,52.98804780876494
DE,0.001088820447847645,0.016141943869406226,0.3155219202600186,0.25624541493367536,1.0707811217953918,-0.16383107558744325,52.589641434262944
UDR,0.0007838831818134963,0.01173405657975596,0.21830576780829647,0.1862723734799725,1.0604823363043683,-0.1321562908504147,51.39442231075697
EBAY,0.00113019040958689,0.017163272168465613,0.3292929186527189,0.2724584990512578,1.0453261109770526,-0.1438142391426721,53.38645418326693
KR,0.0008874766968635891,0.013554415793155803,0.25050184508205886,0.21516968013273938,1.039384951781576,-0.14163369940995052,50.199203187250994
CHRW,0.0012336662387371193,0.01885423125708296,0.3643693213844088,0.29930164240525337,1.0386975816885708,-0.15316501751359124,50.199203187250994
