Stock,Percentage
SMCI,7.5999699542702555
LLY,3.7833630238697467
MCK,2.837347055430579
PGR,2.7479492833861934
AZO,2.445124316495252
ACGL,2.349178874326962
AJG,2.3439646853135523
ERIE,2.1533887000627283
ABBV,2.051000960664619
BRO,1.8916580971796597
RSG,1.8893147018022713
WRB,1.758401209633555
COR,1.7296173017127232
TMUS,1.7222495463829746
CAH,1.6691510928138857
TRV,1.6225708200692701
CB,1.61471268780437
BSX,1.5971749353533224
ALL,1.5780850542337403
IBM,1.5693095157997057
PM,1.5228444072023206
CBOE,1.5152269157982095
KR,1.4089611447887946
WM,1.3803611796211623
CTRA,1.3503639235772873
CNP,1.3482129239573395
VRTX,1.3379889140630699
ETR,1.2525086815101805
FOXA,1.2459084901234925
WMT,1.240675645638095
CINF,1.2174526237791532
AIZ,1.2012388332579267
GD,1.1928289268302388
GILD,1.1755216160031359
SO,1.16967904042516
L,1.1502533973280935
EG,1.146507293895115
NOC,1.1229731640288696
MO,1.1159467025187597
EXC,1.0820486815147865
FOX,1.0724154555372951
PEG,1.0715683006083225
VRSK,1.041980310729557
BG,1.0364964919188184
K,0.9836267728557758
CME,0.9823929461166947
UNH,0.9177532427002045
CHD,0.9015627563534094
PG,0.8694799366442632
DUK,0.8576620227359957
DTE,0.847573132815272
MCD,0.8375270390461428
ED,0.8270270284411244
KO,0.8260678654988708
NI,0.8245029279937657
T,0.8141261100551889
AMGN,0.8133434502564553
WTW,0.7794576721068607
REGN,0.7656965635199068
MRK,0.7158765446346291
LMT,0.6834227483790608
HSY,0.6782739458623255
GL,0.6708878548909116
GIS,0.6127858055147228
AEE,0.5736449048330459
CL,0.5672453274475189
AEP,0.5624398704301015
PNW,0.5604974432704758
CMS,0.48484797435032834
LNT,0.4403922556742738
KHC,0.43673076954834505
NEE,0.41526061409905235
KMB,0.3719773389588496
WEC,0.3656377166794003
MDLZ,0.36247713805743825
KDP,0.3585469847435888
EVRG,0.34202617033792737
XEL,0.325316392151546
JNJ,0.3178825237698321
PEP,0.26927504606865826
BMY,0.21434140302704774
HII,0.20706805635393716
FE,0.16387491745087093
SJM,0.09797590506564198
