Stock,Percentage
AVGO,4.442901376416533
CRWD,4.150163604588389
PANW,3.4720569483357653
DECK,3.151067166629661
DELL,2.940411554089429
WMB,2.769747070578065
ORLY,2.525712717263783
XOM,2.2900799009594732
AIG,2.2307073539207702
HIG,2.181855246279343
TSCO,2.12060804166013
COST,1.9930886522672542
RJF,1.9029765728643167
AFL,1.8894804875169517
MSI,1.877299581506849
GOOG,1.8032584856402398
GOOGL,1.7859795118166206
HUBB,1.763174975044175
GRMN,1.7542668588487256
NOW,1.740550140772004
MMC,1.5521668755588562
RTX,1.5299636974619464
MSFT,1.4831009761864145
MLM,1.4769127586999231
KMI,1.4374237319534098
LIN,1.4234317936829322
CTVA,1.409326494986242
AON,1.388921622213948
DGX,1.3492970046120116
PKG,1.3206987750685875
PAYX,1.3114851635907858
ROL,1.3097903418323922
JNPR,1.2961291840424727
ADP,1.2853281525926692
TJX,1.27893003803388
VICI,1.2463114299267557
MOH,1.2263219317170015
VMC,1.1617855163162014
MTB,1.0500945875571808
SYK,1.0441280859797024
MNST,1.0374220925702715
CI,1.0320029325628062
PCG,1.022415209407522
TYL,0.9241732245272832
ELV,0.9001649776799597
PSA,0.8564588422171887
GPC,0.8434540370960584
V,0.8352531363720723
J,0.8339340348810906
TMO,0.8114130312281769
MAA,0.7814321079682922
ABT,0.7352782984140904
TAP,0.725361966972971
PPL,0.7047962959655147
DHR,0.7032968149179052
RMD,0.700309934625622
TTWO,0.700125723537962
LDOS,0.6786476676721745
ATO,0.6540747546575125
CSCO,0.6344798192808858
INVH,0.6204554667380356
FDS,0.6197201388363927
CPT,0.6099288809797294
CHRW,0.5616797485087046
STE,0.5378600954862576
APD,0.5326756687243014
ADM,0.5228482036108913
NEM,0.4872905116566465
AVB,0.476953032163557
ESS,0.4028684946902211
EQIX,0.3580893436371406
SRE,0.3482670938686412
EA,0.34572272772378976
AWK,0.27112946942616056
CVS,0.267398062707595
O,0.2580850995155503
AMCR,0.2535660826077732
STZ,0.20005876249659235
UDR,0.1964449636333207
EIX,0.1553396343102497
VRSN,0.14561119845719395
DLR,0.13627129695423823
LHX,0.11080063975610803
MKC,0.0995060719437482
