Stock
REG
HBAN
CMI
HWM
DVA
WST
MMM
IPG
INTU
GWW
GDDY
OXY
NFLX
LOW
HLT
WAB
KEYS
ITW
LKQ
ACN
FDX
HPE
NTAP
PFG
ANSS
NTRS
CTAS
NVR
PRU
CSX
MPC
FRT
PTC
IT
UAL
USB
MU
STX
MPWR
VTR
PPG
ALLE
QCOM
NWSA
NWS
SPGI
WAT
DOV
AXP
RVTY
CPAY
DOW
KLAC
TEL
PLD
EMR
PSX
AMP
PNC
CARR
RF
BAC
JBHT
FITB
LYV
BKR
MOS
GM
SLB
PNR
MSCI
BWA
JCI
DAL
ODFL
A
CAT
ISRG
OKE
FICO
MTD
AOS
UBER
MAS
