Stock
BIIB
GIS
NOC
LLY
CPB
ACGL
PGR
HSY
MRK
REGN
GILD
K
KMB
PG
ED
CME
CAG
CL
ALL
LMT
VZ
EG
MCK
HRL
SO
CMS
BDX
WRB
SMCI
CBOE
XEL
EXC
SJM
T
CHD
GD
FE
VRTX
KO
AEE
DG
PNW
CTRA
JNJ
ERIE
DUK
AIZ
PEP
WEC
BMY
HII
MDLZ
RSG
NI
AEP
CB
WMT
TRV
AZO
CINF
LNT
MO
WM
PEG
ETR
AMGN
CLX
COR
NEE
KR
ABBV
AJG
PM
HUM
LW
FOXA
DTE
PFE
KHC
BSX
KDP
CAH
EVRG
UNH
CNP
VRSK
BRO
MCD
TMUS
GL
FOX
IBM
CNC
BG
HAS
L
WTW
JNPR
