Stock
FSLR
ULTA
MCO
VLO
SHW
NSC
EQT
LRCX
C
KEY
DD
POOL
KIM
NVDA
IR
UHS
MAR
ROK
BKNG
WY
NXPI
GS
TPL
PODD
COF
ADSK
DFS
BLK
CFG
BBY
PH
WDC
RL
F
MS
STLD
STT
EBAY
TPR
AMAT
CBRE
SPG
FANG
TRMB
IQV
SYF
IVZ
CRL
APO
EMN
HCA
MCHP
TER
AMD
EPAM
HAL
IDXX
ON
MHK
WYNN
EFX
PHM
BX
LEN
PLTR
KKR
PARA
GNRC
DVN
ALB
NUE
EXPE
DHI
TRGP
URI
FCX
MGM
ENPH
BLDR
RCL
TSLA
NCLH
MRNA
CCL
CZR
APA
