Stock
COO
DVA
WST
MMM
GPN
IPG
GWW
INTU
GDDY
OXY
FMC
NFLX
NKE
INTC
LOW
HLT
WAB
KEYS
ITW
PAYC
LKQ
ACN
HPE
FDX
NTAP
PFG
ANSS
NTRS
CTAS
NVR
PRU
MPC
CSX
DOC
FRT
ADBE
PTC
UAL
IT
MU
USB
STX
MPWR
VTR
PPG
ALLE
QCOM
NWSA
NWS
SPGI
CHTR
WAT
DOV
AXP
CPAY
DOW
RVTY
KLAC
TEL
PLD
DAY
EMR
PSX
DXCM
AMP
PNC
RF
CARR
BAC
JBHT
LYV
FITB
BKR
SLB
MOS
GM
SWKS
PNR
MSCI
BWA
DAL
BXP
JCI
ODFL
A
CAT
HST
ISRG
OKE
ARE
FICO
UBER
AOS
MTD
FSLR
MAS
ULTA
MCO
