Stock,Weight
RSG,0.1593225001587293
BRO,0.14551032683424264
WMT,0.13270434134502243
WELL,0.10048429618687914
TRGP,0.07610290898823503
GDDY,0.057704740037712934
IBM,0.05526384183454613
BSX,0.0539319434107718
NFLX,0.051697831866522624
NVDA,0.05001482505832005
META,0.041627069003355506
PLTR,0.035025262589072854
VST,0.01738204135335162
HWM,0.015617755103569431
RCL,0.007610316229668436
COST,5.2473089560583106e-17
FI,2.3067740978954485e-17
GE,1.3386435611032538e-17
ICE,6.872684745211392e-18
WMB,2.5009225982717403e-18
