Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16 00:00:00-04:00,139.45951465791427,147.06383428440995,136.06725044195605,139.4218292236328,1085800,0.0,0.0
2020-03-17 00:00:00-04:00,142.1356314668427,153.17931891539743,141.90949009627175,147.17691040039062,1044500,0.0,0.0
2020-03-18 00:00:00-04:00,136.68920986579963,150.39017714069948,135.7563477040109,149.4761505126953,839200,0.0,0.0
2020-03-19 00:00:00-04:00,153.24531267821064,153.24531267821064,137.98956704761758,139.9966583251953,1172100,0.0,0.0
2020-03-20 00:00:00-04:00,144.14271334687592,145.02847200135548,122.78091023800448,126.57835388183594,1370100,0.0,0.0
2020-03-23 00:00:00-04:00,126.65373597825759,127.59602994840469,116.50522589385895,122.13072204589844,950400,0.0,0.0
2020-03-24 00:00:00-04:00,126.24857917675682,135.09672158022804,126.17319391161072,134.0225067138672,897700,0.0,0.0
2020-03-25 00:00:00-04:00,133.16501088944077,137.61262587274808,130.14024046166534,133.67384338378906,818600,0.0,0.0
2020-03-26 00:00:00-04:00,134.01306360580787,144.35944845460781,133.18384022427549,142.2958221435547,863700,0.0,0.0
2020-03-27 00:00:00-04:00,138.47012588157878,146.26290272016692,136.89649633766453,140.4300994873047,545300,0.0,0.0
2020-03-30 00:00:00-04:00,141.93779529563957,147.73289950099192,138.03669746092095,147.04502868652344,571700,0.0,0.0
2020-03-31 00:00:00-04:00,145.59386843694125,148.9390156484085,143.89775041717135,146.28175354003906,781000,0.0,0.0
2020-04-01 00:00:00-04:00,141.22163066534736,143.74698666085632,136.3405534895165,138.59263610839844,624600,0.0,0.0
2020-04-02 00:00:00-04:00,136.0013091389062,143.07793265167552,134.3428766995638,142.4371795654297,527400,0.0,0.0
2020-04-03 00:00:00-04:00,141.26873221910682,148.66574678487683,140.90123808880557,147.19577026367188,718800,0.0,0.0
2020-04-06 00:00:00-04:00,151.4549518445058,158.9367705427838,150.18286322499773,157.6835174560547,960600,0.0,0.0
2020-04-07 00:00:00-04:00,161.66941525062185,163.78957710167606,156.430247665383,157.53273010253906,995100,0.0,0.0
2020-04-08 00:00:00-04:00,149.66456862731556,160.66113868147056,149.66456862731556,159.60577392578125,884500,0.0,0.0
2020-04-09 00:00:00-04:00,160.83074183184337,162.04630921028422,159.43615066133506,160.34075927734375,427000,0.0,0.0
2020-04-13 00:00:00-04:00,158.67292590204954,159.98271431559553,152.8589721884953,153.70703125,439100,0.0,0.0
2020-04-14 00:00:00-04:00,156.34541619104235,158.6351980501952,154.58333104097983,158.30538940429688,503400,0.0,0.0
2020-04-15 00:00:00-04:00,154.78123387450665,156.1569896774695,151.98261906309503,153.80125427246094,423400,0.0,0.0
2020-04-16 00:00:00-04:00,156.43968344652205,157.74947177871962,153.41491280891586,155.86488342285156,480900,0.0,0.0
2020-04-17 00:00:00-04:00,158.92734992529927,160.83077393721996,158.1546617471435,159.86964416503906,488500,0.0,0.0
2020-04-20 00:00:00-04:00,157.32544316478246,158.42792563381326,156.38314898151495,157.0521697998047,476900,0.0,0.0
2020-04-21 00:00:00-04:00,155.14870287686645,155.29947336913517,146.05557143860773,147.35594177246094,442700,0.0,0.0
2020-04-22 00:00:00-04:00,148.25117402363628,151.76592797568043,147.00733856150129,150.42787170410156,499600,0.0,0.0
2020-04-23 00:00:00-04:00,150.39019577598754,151.39844333265967,146.71523889654168,147.18638610839844,526400,0.0,0.0
2020-04-24 00:00:00-04:00,148.18518619354955,149.97555386669228,146.30059772388498,149.92843627929688,870200,0.0,0.0
2020-04-27 00:00:00-04:00,151.95432809399557,154.77179238264677,151.00261631244533,154.03680419921875,415100,0.0,0.0
2020-04-28 00:00:00-04:00,155.29005292752436,156.23234692055757,150.69165364047745,151.0968475341797,580000,0.0,0.0
2020-04-29 00:00:00-04:00,152.96261733995487,155.9402704263089,151.60571140803313,151.97320556640625,529100,0.0,0.0
2020-04-30 00:00:00-04:00,151.63397488663054,154.9037367803901,150.17341605927032,154.11221313476562,801900,0.0,0.0
2020-05-01 00:00:00-04:00,151.24761304526356,153.44315991087078,148.3170779696739,149.35360717773438,450900,0.0,0.0
2020-05-04 00:00:00-04:00,149.42900451648012,153.35836930413404,148.22286918312065,152.67991638183594,664200,0.0,0.0
2020-05-05 00:00:00-04:00,154.87545302984293,167.32316394940952,154.87545302984293,166.03221130371094,1049200,0.0,0.0
2020-05-06 00:00:00-04:00,165.0616673681486,169.43391172419345,164.45859967691024,168.1995086669922,660100,0.0,0.0
2020-05-07 00:00:00-04:00,169.94276460449328,174.8426915654715,168.23720002592015,173.20309448242188,721600,0.0,0.0
2020-05-08 00:00:00-04:00,173.67426528133132,174.95578614245485,171.87447966418895,172.24197387695312,479300,0.0,0.0
2020-05-11 00:00:00-04:00,171.5917723538501,177.04764921592806,170.00871068773694,175.9734344482422,467300,0.0,0.0
2020-05-12 00:00:00-04:00,176.38804745075885,177.867441816497,174.1265328226198,174.5694122314453,547100,0.0,0.0
2020-05-13 00:00:00-04:00,174.0323014046089,176.57649262490563,171.7425192415549,174.39979553222656,468900,0.0,0.0
2020-05-14 00:00:00-04:00,173.63654338223168,174.72017588055715,171.7707906522512,174.5411376953125,574100,0.0,0.0
2020-05-15 00:00:00-04:00,173.28788556018756,179.1395384610917,171.97809728853753,178.83799743652344,795000,0.0,0.0
2020-05-18 00:00:00-04:00,182.77678925155521,183.7756187053624,179.36568918215326,179.89337158203125,635500,0.0,0.0
2020-05-19 00:00:00-04:00,179.95932885093478,182.5223700337914,177.8485992026534,177.85801696777344,378900,0.0,0.0
2020-05-20 00:00:00-04:00,180.94873627247335,182.324491995553,179.0452981498345,179.478759765625,386000,0.0,0.0
2020-05-21 00:00:00-04:00,179.5447188771664,179.5447188771664,174.50345386164088,174.79556274414062,442200,0.0,0.0
2020-05-22 00:00:00-04:00,174.16421480019554,176.29379422364661,173.04288255562153,176.13360595703125,313700,0.0,0.0
2020-05-26 00:00:00-04:00,178.83801756618342,178.83801756618342,171.2713959657323,171.6765899658203,617200,0.0,0.0
2020-05-27 00:00:00-04:00,171.6859983365332,174.82180808965552,165.49936805311876,166.91615295410156,925700,0.43,0.0
2020-05-28 00:00:00-04:00,167.63399644481905,169.9575301762471,166.91616390298938,167.992919921875,743200,0.0,0.0
2020-05-29 00:00:00-04:00,169.07911836094507,171.3270885281377,167.42620251148756,170.8264923095703,1156700,0.0,0.0
2020-06-01 00:00:00-04:00,171.84656391281882,172.8571963047651,169.702492081142,170.69424438476562,544700,0.0,0.0
2020-06-02 00:00:00-04:00,172.20549008083304,172.7533008964595,170.19365089706744,172.46995544433594,739500,0.0,0.0
2020-06-03 00:00:00-04:00,172.2621735222835,172.61164255053748,168.16293122192093,168.50296020507812,371000,0.0,0.0
2020-06-04 00:00:00-04:00,166.45336531875728,168.8713430703685,166.45336531875728,168.19129943847656,537000,0.0,0.0
2020-06-05 00:00:00-04:00,169.32466744369546,170.15583800703862,165.47101130073563,169.89137268066406,673400,0.0,0.0
2020-06-08 00:00:00-04:00,168.18183548969913,168.21962449684554,163.94093461751126,166.51002502441406,672800,0.0,0.0
2020-06-09 00:00:00-04:00,167.16176073573098,169.54196393052962,166.81229166156567,168.93746948242188,481700,0.0,0.0
2020-06-10 00:00:00-04:00,170.51479557222714,172.8761038966775,168.84298524307727,172.22438049316406,615100,0.0,0.0
2020-06-11 00:00:00-04:00,172.0732412430675,172.84775723710692,164.90431313136125,165.19711303710938,612500,0.0,0.0
2020-06-12 00:00:00-04:00,166.95394810382683,168.295169579122,160.81454611016525,162.69415283203125,584100,0.0,0.0
2020-06-15 00:00:00-04:00,159.33162774331512,165.59382143965803,159.33162774331512,164.29037475585938,399300,0.0,0.0
2020-06-16 00:00:00-04:00,169.81582164504977,169.81582164504977,163.93144608009004,166.13218688964844,359400,0.0,0.0
2020-06-17 00:00:00-04:00,166.36833661287585,169.50416094571787,166.36833661287585,167.93624877929688,351700,0.0,0.0
2020-06-18 00:00:00-04:00,167.38839009265558,171.56318059381834,166.6894377886987,169.83470153808594,480800,0.0,0.0
2020-06-19 00:00:00-04:00,172.38492444010174,172.8194114545045,168.84296243195448,171.23260498046875,1047600,0.0,0.0
2020-06-22 00:00:00-04:00,170.73204174270543,174.51013527957483,170.2314455020529,173.0083465576172,421900,0.0,0.0
2020-06-23 00:00:00-04:00,173.61283305645534,175.5491087885553,171.1476265591985,172.01658630371094,369300,0.0,0.0
2020-06-24 00:00:00-04:00,171.60101272143615,173.74508497892148,169.22082401477604,169.72142028808594,522800,0.0,0.0
2020-06-25 00:00:00-04:00,169.70249520522387,170.38255311666902,166.44389278671335,170.2503204345703,545100,0.0,0.0
2020-06-26 00:00:00-04:00,170.58095795127917,172.29054326135625,167.8323909770354,168.5880126953125,1042700,0.0,0.0
2020-06-29 00:00:00-04:00,168.975192051571,171.4120635986328,166.16051699537658,171.4120635986328,693700,0.0,0.0
2020-06-30 00:00:00-04:00,170.84537511536317,174.58567922490127,170.84537511536317,173.82061767578125,712300,0.0,0.0
2020-07-01 00:00:00-04:00,174.5573733134897,174.67071151349728,170.64704687810647,173.63174438476562,388400,0.0,0.0
2020-07-02 00:00:00-04:00,175.0768680349126,176.62588592320225,173.4711810453403,174.27401733398438,256900,0.0,0.0
2020-07-06 00:00:00-04:00,175.48297879573835,177.95763965943743,172.4038380045749,172.90443420410156,402200,0.0,0.0
2020-07-07 00:00:00-04:00,171.9693391027878,175.0673739225986,169.65524582499353,169.8441619873047,453600,0.0,0.0
2020-07-08 00:00:00-04:00,171.55378407446997,172.60220559025225,170.7792679942151,171.865478515625,248100,0.0,0.0
